kanji,ka_name,ka_examples,onyomi,kunyomi,nanori,english,jlpt,strokes,usage_freq_2500,grade,radicals
銭,zeni,"[ [ ""銭湯（せんとう）"", ""bath-house, public bath"" ], [ ""金銭（きんせん）"", ""money, cash"" ], [ ""賽銭（さいせん）"", ""monetary offering"" ], [ ""釣り銭（つりせん）"", ""change [n.]"" ], [ ""守銭奴（しゅせんど）"", ""miser"" ], [ ""無銭飲食（むせんいんしょく）"", ""leaving without paying for food"" ], [ ""銭（ぜに）"", ""money"" ], [ ""小銭（こぜに）"", ""coins, small change"" ], [ ""身銭（みぜに）"", ""one's own money"" ] ]","セン, ゼン","ぜに, すき",,"coin, .01 yen, money",1.0,14.0,1008.0,6.0,"金, 戈, 二"
祖,so(sen),"[ [ ""祖先（そせん）"", ""ancestor"" ], [ ""祖国（そこく）"", ""fatherland, native country"" ], [ ""祖父母（そふぼ）"", ""grandparents"" ], [ ""元祖（がんそ）"", ""originator, founder, pioneer"" ], [ ""教祖（きょうそ）"", ""founder of a religious sect, guru"" ], [ ""先祖（せんぞ）"", ""ancestor"" ] ]",ソ,,い,"ancestor, pioneer, founder",2.0,9.0,1226.0,5.0,"一, 目, 礼"
測,soku-haka(ru),"[ [ ""測候所（そっこうじょ）"", ""weather measurement station"" ], [ ""憶測（おくそく）"", ""guess, speculation, supposition"" ], [ ""不測（ふそく）"", ""unexpected [n.]"" ], [ ""測量する（そくりょうする）"", ""measure (mass)  [v.t.]"" ], [ ""測定する（そくていする）"", ""measure [v.t.]"" ], [ ""観測する（かんそくする）"", ""observe"" ], [ ""推測する（すいそくする）"", ""guess, conjecture"" ], [ ""予測する（よそくする）"", ""predict, estimate"" ], [ ""目測する（もくそくする）"", ""measure by eye"" ], [ ""測る（はかる）"", ""measure (mass) [v.t.]"" ] ]",ソク,はか.る,,"fathom, plan, scheme, measure",2.0,12.0,761.0,5.0,"貝, 目, ハ, 刈, 汁"
八,8,"[ [ ""八月（はちがつ）"", ""August"" ], [ ""八時間（はちじかん）"", ""8 hours"" ], [ ""尺八（しゃくはち）"", ""bamboo flute"" ], [ ""八回（はっかい）"", ""8 times"" ], [ ""八分（はっぷん）"", ""8 minutes"" ], [ ""八百（はっぴゃく）"", ""800"" ], [ ""八つ（やっつ）"", ""8 (objects)"" ], [ ""八百屋（やおや）"", ""greengrocer"" ], [ ""八重桜（やえざくら）"", ""double-flowered cherry-tree"" ], [ ""八日（ようか）"", ""8 days, 8th of the month"" ] ]","ハチ, ハツ","や, や.つ, やっ.つ, よう","な, は, はっ, やち, やつ","eight, eight radical (no. 12)",4.0,2.0,92.0,1.0,ハ
属,(sho)zoku,"[ [ ""属性（ぞくせい）"", ""attribute [n.]"" ], [ ""金属（きんぞく）"", ""metal"" ], [ ""専属（せんぞく）"", ""exclusive, specialized [n.]"" ], [ ""猫属（ねこぞく）"", ""the cat genus"" ], [ ""属する（ぞくする）"", ""belong to, be affiliated with"" ], [ ""配属する（はいぞくする）"", ""assign"" ], [ ""従属する（じゅうぞくする）"", ""be subordinated to"" ], [ ""付属する（ふぞくする）"", ""be attached, be associated"" ], [ ""所属する（しょぞくする）"", ""belong to, be affiliated with"" ] ]","ゾク, ショク","さかん, つく, やから","さっか, つき","belong, genus, subordinate official, affiliated",1.0,12.0,912.0,5.0,"ノ, 尸, 禹"
損,son(gai),"[ [ ""損（そん）"", ""loss"" ], [ ""損失（そんしつ）"", ""loss"" ], [ ""損得（そんとく）"", ""loss and gain"" ], [ ""損害（そんがい）"", ""damage, injury, loss"" ], [ ""損傷（そんしょう）"", ""damage, injury"" ], [ ""大損（おおぞん）"", ""heavy loss"" ], [ ""損害賠償（そんがいばいしょう）"", ""restitution, compensation"" ], [ ""破損する（はそんする）"", ""damage, be damaged"" ], [ ""損ねる（そこねる）"", ""harm, hurt, injure [v.t.]"" ], [ ""損なう（そこなう）"", ""harm, damage [v.t.]"" ], [ ""見損なう（みそこなう）"", ""misjudge, miss, fail to see"" ] ]",ソン,"そこ.なう, そこな.う, -そこ.なう, そこ.ねる, -そこ.ねる",,"damage, loss, disadvantage, hurt, injure",2.0,13.0,807.0,5.0,"貝, 目, ハ, 口, 扎"
退,shirizo(ku),"[ [ ""退屈な（たいくつな）"", ""tedious, bored"" ], [ ""退廃的な（たいはいてきな）"", ""degenerate, decadent"" ], [ ""退学する（たいがくする）"", ""drop out of school"" ], [ ""退職する（たいしょくする）"", ""retire"" ], [ ""退去する（たいきょする）"", ""depart, leave, recede"" ], [ ""退場する（たいじょうする）"", ""leave, exit"" ], [ ""退院する（たいいんする）"", ""leave hospital"" ], [ ""辞退する（じたいする）"", ""decline an offer"" ], [ ""衰退する（すいたいする）"", ""decay, retreat"" ], [ ""撤退する（てったいする）"", ""evacuate, withdraw, repeal"" ], [ ""退ける（しりぞける）"", ""repel, drive away, reject [v.t.]"" ], [ ""退く（しりぞく）"", ""retreat, recede, withdraw [v.i.]"" ] ]",タイ,"しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く",,"retreat, withdraw, retire, resign, repel, expel, reject",2.0,9.0,424.0,6.0,"込, 艮"
銅,dou(zou),"[ [ ""銅（どう）"", ""copper"" ], [ ""銅山（どうざん）"", ""copper mine"" ], [ ""銅貨（どうか）"", ""copper coin"" ], [ ""銅像（どうぞう）"", ""bronze statue"" ], [ ""青銅（せいどう）"", ""bronze"" ] ]",ドウ,あかがね,,copper,2.0,14.0,1505.0,5.0,"金, 口, 冂, 一"
徳,(dou)toku,"[ [ ""徳（とく）"", ""virtue, goodness"" ], [ ""道徳（どうとく）"", ""morals"" ], [ ""人徳（じんとく）"", ""natural virtue, personal virtue"" ], [ ""不徳（ふとく）"", ""immorality, depravity"" ], [ ""美徳（びとく）"", ""virtue"" ], [ ""悪徳商法（あくとくしょうほう）"", ""corrupt business"" ] ]",トク,,"あつ, なる, のり, ゆき, よし","benevolence, virtue, goodness, commanding respect",1.0,14.0,1091.0,4.0,"十, 心, 買, 彳"
犯,han(nin),"[ [ ""犯罪（はんざい）"", ""crime"" ], [ ""犯行（はんこう）"", ""criminal act"" ], [ ""犯人（はんにん）"", ""offender, criminal"" ], [ ""防犯（ぼうはん）"", ""crime prevention"" ], [ ""初犯（しょはん）"", ""first offender"" ], [ ""共犯（きょうはん）"", ""accomplice"" ], [ ""戦犯（せんぱん）"", ""war criminal"" ], [ ""殺人犯（さつじんはん）"", ""murderer"" ], [ ""知能犯（ちのうはん）"", ""intellectual criminal"" ], [ ""犯す（おかす）"", ""commit, perpetrate, violate"" ] ]","ハン, ボン",おか.す,,"crime, sin, offense",2.0,5.0,874.0,5.0,"乙, 犯, 卩"
版,han(ga),"[ [ ""版（はん）"", ""plate, printing, edition"" ], [ ""版画（はんが）"", ""art print"" ], [ ""版元（はんもと）"", ""publisher"" ], [ ""版権（はんけん）"", ""copyright"" ], [ ""重版（じゅうはん）"", ""additional printing"" ], [ ""凸版（とっぱん）"", ""letterpress, relief printing"" ], [ ""活版（かっぱん）"", ""printing, typography"" ], [ ""出版社（しゅっぱんしゃ）"", ""publisher"" ], [ ""初版本（しょはんぼん）"", ""first edition"" ], [ ""決定版（けっていばん）"", ""definitive edition"" ], [ ""改訂版（かいていばん）"", ""revised edition"" ], [ ""出版する（しゅっぱんする）"", ""publish"" ] ]",ハン,,,"printing block, printing plate, edition, impression, label",2.0,8.0,802.0,5.0,"片, 又, 厂"
俵,tawara,"[ [ ""土俵（どひょう）"", ""sumo ring"" ], [ ""一俵（いっぴょう）"", ""one straw bag"" ], [ ""俵（たわら）"", ""bale, sack"" ], [ ""米俵（こめだわら）"", ""straw rice bag"" ], [ ""炭俵（すみだわら）"", ""sack for charcoal"" ] ]",ヒョウ,たわら,,"bag, bale, sack, counter for bags",1.0,10.0,1481.0,6.0,"衣, 化, 士, 土, 二, 亠"
婦,(fuu)fu,"[ [ ""婦人（ふじん）"", ""woman, female"" ], [ ""婦長（ふちょう）"", ""head nurse"" ], [ ""婦警（ふけい）"", ""policewoman"" ], [ ""主婦（しゅふ）"", ""housewife"" ], [ ""夫婦（ふうふ）"", ""married couple"" ], [ ""娼婦（しょうふ）"", ""prostitute"" ], [ ""新婦（しんぷ）"", ""bride"" ], [ ""看護婦（かんごふ）"", ""nurse"" ], [ ""掃除婦（そうじふ）"", ""cleaning lady"" ] ]",フ,よめ,ね,"lady, woman, wife, bride",2.0,11.0,671.0,5.0,"ヨ, 巾, 女, 冖"
富,tomi,"[ [ ""富豪（ふごう）"", ""wealthy person, millionaire"" ], [ ""富士山（ふじさん）"", ""Mt. Fuji"" ], [ ""富国強兵（ふこくきょうへい）"", ""national prosperity & defense"" ], [ ""富裕な（ふゆうな）"", ""wealthy, rich, opulent"" ], [ ""豊富な（ほうふな）"", ""abundant, rich, plentiful"" ], [ ""富貴な（ふうきな）"", ""rich and honored"" ], [ ""富む（とむ）"", ""rich with"" ], [ ""富（とみ）"", ""wealth, fortune"" ] ]","フ, フウ","と.む, とみ","と, とん, ふっ","wealth, enrich, abundant",2.0,12.0,644.0,4.0,"口, 田, 宀, 一"
九,9,"[ [ ""九州（きゅうしゅう）"", ""Kyuushuu"" ], [ ""九回（きゅうかい）"", ""9 times"" ], [ ""九年（きゅうねん）"", ""9 years"" ], [ ""九月（くがつ）"", ""September"" ], [ ""九時（くじ）"", ""9 o'clock"" ], [ ""十九日（じゅうくにち）"", ""19 days, 19th of the month"" ], [ ""九日（ここのか）"", ""9 days, 9th of the month"" ], [ ""九つ（ここのつ）"", ""9 (objects) "" ] ]","キュウ, ク","ここの, ここの.つ","いちじく, いちのく, この, ひさし",nine,4.0,2.0,55.0,1.0,九
武,bu(ryoku),"[ [ ""武士（ぶし）"", ""warrior, samurai"" ], [ ""武器（ぶき）"", ""weapon, arms"" ], [ ""武力（ぶりょく）"", ""military power"" ], [ ""武術（ぶじゅつ）"", ""martial arts"" ], [ ""武道（ぶどう）"", ""martial arts, Bushido"" ], [ ""武装する（ぶそうする）"", ""be armed"" ], [ ""武者震い（むしゃぶるい）"", ""shake with excitement [n.]"" ], [ ""影武者（かげむしゃ）"", ""secret power broker"" ] ]","ブ, ム","たけ, たけ.し","う, お, たけし, たけん, ん","warrior, military, chivalry, arms",2.0,8.0,387.0,5.0,"止, 弋"
複,fuku(suu),"[ [ ""複数（ふくすう）"", ""plural, multiple"" ], [ ""複利（ふくり）"", ""compound interest"" ], [ ""複写機（ふくしゃき）"", ""photocopying machine"" ], [ ""複雑な（ふくざつな）"", ""complex, complicated"" ], [ ""複製する（ふくせいする）"", ""reproduce, duplicate, reprint"" ], [ ""複合する（ふくごうする）"", ""combine"" ], [ ""重複する（ちょうふくする）"", ""be repeated, overlap [v.i.]"" ] ]",フク,,,"duplicate, double, compound, multiple",2.0,14.0,915.0,5.0,"初, 日, 夂, 乞"
墓,haka,"[ [ ""墓碑（ぼひ）"", ""gravestone, tombstone"" ], [ ""墓地（ぼち）"", ""cemetery, graveyard"" ], [ ""墓穴（ぼけつ）"", ""grave (hole in ground)"" ], [ ""墓標（ぼひょう）"", ""grave-marker, gravestone"" ], [ ""墓（はか）"", ""tomb"" ], [ ""墓参り（はかまいり）"", ""visit to a grave"" ] ]",ボ,はか,,"grave, tomb",1.0,13.0,1337.0,5.0,"大, 土, 日, 艾"
報,(yo)hou,"[ [ ""報道（ほうどう）"", ""information, report"" ], [ ""報酬（ほうしゅう）"", ""remuneration, recompense"" ], [ ""情報（じょうほう）"", ""information, news"" ], [ ""警報（けいほう）"", ""alarm, warning"" ], [ ""速報（そくほう）"", ""news flash, quick report"" ], [ ""天気予報（てんきよほう）"", ""weather forecast"" ], [ ""報告する（ほうこくする）"", ""report, inform"" ], [ ""報復する（ほうふくする）"", ""retaliate, take revenge"" ], [ ""通報する（つうほうする）"", ""report [v.t.]"" ], [ ""報じる（ほうじる）"", ""inform, report"" ], [ ""報う（むくう）"", ""reward, recompense [v.i., v.t.]"" ], [ ""報いる（むくいる）"", ""reward, recompense [v.i., v.t.]"" ] ]",ホウ,むく.いる,,"report, news, reward, retribution",2.0,12.0,167.0,5.0,"十, 辛, 土, 又, 立, 亠, 卩"
防,fuse(gu),"[ [ ""防水（ぼうすい）"", ""waterproofing"" ], [ ""防音（ぼうおん）"", ""soundproofing"" ], [ ""防虫剤（ぼうちゅうざい）"", ""insecticide"" ], [ ""防腐剤（ぼうふざい）"", ""antiseptic, preservative [n.]"" ], [ ""防災訓練（ぼうさいくんれん）"", ""disaster prevention drill"" ], [ ""堤防（ていぼう）"", ""bank, levee, dike"" ], [ ""消防車（しょうぼうしゃ）"", ""fire-engine"" ], [ ""無防備な（むぼうびな）"", ""defenseless"" ], [ ""防止する（ぼうしする）"", ""prevent"" ], [ ""防衛する（ぼうえいする）"", ""defend, protect"" ], [ ""予防する（よぼうする）"", ""prevent by taking precautions"" ], [ ""防ぐ（ふせぐ）"", ""defend, protect, prevent"" ] ]",ボウ,ふせ.ぐ,"あた, う, ほう","ward off, defend, protect, resist",2.0,7.0,331.0,5.0,"方, 阡"
貿,bou(ekifuu),"[ [ ""貿易（ぼうえき）"", ""trade"" ], [ ""貿易業（ぼうえきぎょう）"", ""trading business"" ], [ ""貿易風（ぼうえきふう）"", ""trade wind"" ] ]",ボウ,,,"trade, exchange",2.0,12.0,652.0,5.0,"貝, 目, ハ, 刀, 厶"
務,(nin)mu,"[ [ ""義務（ぎむ）"", ""duty, obligation"" ], [ ""事務（じむ）"", ""business, office work"" ], [ ""任務（にんむ）"", ""duty, mission, task"" ], [ ""職務（しょくむ）"", ""professional duties"" ], [ ""責務（せきむ）"", ""duty, obligation, responsibility"" ], [ ""専務（せんむ）"", ""managing director"" ], [ ""外務省（がいむしょう）"", ""Department of Foreign Affairs"" ], [ ""法務省（ほうむしょう）"", ""Ministry of Justice"" ], [ ""公務員（こうむいん）"", ""civil servant"" ], [ ""勤務する（きんむする）"", ""work for"" ], [ ""務める（つとめる）"", ""serve, exert oneself [v.t.]"" ], [ ""務まる（つとまる）"", ""be fit for, function properly [v.i.]"" ] ]",ム,つと.める,"つかさ, み","task, duties",2.0,11.0,111.0,5.0,"矛, 力, 攵"
綿,men-wata,"[ [ ""綿花（めんか）"", ""raw cotton, cotton wool"" ], [ ""綿糸（めんし）"", ""cotton yarn"" ], [ ""綿棒（めんぼう）"", ""cotton swab"" ], [ ""綿織物（めんおりもの）"", ""cotton fabrics, cotton textiles"" ], [ ""木綿（もめん）"", ""cotton"" ], [ ""綿密な（めんみつな）"", ""detailed, careful, thorough"" ], [ ""綿（わた）"", ""raw cotton"" ], [ ""綿菓子（わたがし）"", ""cotton candy"" ] ]",メン,わた,う,cotton,2.0,14.0,1495.0,5.0,"巾, 糸, 幺, 小, 白"
余,yo(keina),"[ [ ""余地（よち）"", ""space, room, margin"" ], [ ""余暇（よか）"", ""leisure, leisure time, spare time"" ], [ ""余波（よは）"", ""secondary effect, aftermath"" ], [ ""余韻（よいん）"", ""reverberation, lingering memory"" ], [ ""余剰（よじょう）"", ""surplus, residue"" ], [ ""余談（よだん）"", ""digression, sequel"" ], [ ""余命（よめい）"", ""one's remaining years"" ], [ ""余程（よほど）"", ""very, to a large extent, greatly"" ], [ ""余計な（よけいな）"", ""extra, excessive"" ], [ ""余分な（よぶんな）"", ""extra, excessive"" ], [ ""余す（あます）"", ""save, leave over"" ], [ ""余る（あまる）"", ""remain, be left over [v.i.]"" ] ]",ヨ,"あま.る, あま.り, あま.す, あんま.り",あまる,"too much, myself, surplus, other, remainder",2.0,7.0,680.0,5.0,"一, 二, ハ, 个, 亅, 示, 小"
略,(sen)ryaku,"[ [ ""略（りゃく）"", ""abbreviation, omission"" ], [ ""略語（りゃくご）"", ""abbreviation, acronym"" ], [ ""略字（りゃくじ）"", ""abbreviation, simplified character"" ], [ ""略歴（りゃくれき）"", ""brief personal record, short CV"" ], [ ""戦略（せんりゃく）"", ""strategy, tactics"" ], [ ""策略（さくりゃく）"", ""scheme, tactic, stratagem, trick"" ], [ ""略す（りゃくす）"", ""abbreviate"" ], [ ""略奪する（りゃくだつする）"", ""loot, rob"" ], [ ""攻略する（こうりゃくする）"", ""capture [v.t.]"" ], [ ""侵略する（しんりゃくする）"", ""invade"" ], [ ""省略する（しょうりゃくする）"", ""omit, abbreviate, abridge"" ] ]",リャク,"ほぼ, はぶ.く, おか.す, おさ.める, はかりごと, はか.る",,"abbreviation, omission, outline, shorten, capture, plunder",2.0,11.0,774.0,5.0,"口, 田, 夂"
十,10,"[ [ ""十（じゅう）"", ""10"" ], [ ""十年（じゅうねん）"", ""10 years"" ], [ ""十分な（じゅうぶんな）"", ""enough"" ], [ ""十か月（じゅっかげつ）"", ""10 months"" ], [ ""十冊（じゅっさつ）"", ""10 (bound objects)"" ], [ ""十匹（じゅっぴき）"", ""10 (animals)"" ], [ ""十分（じゅっぷん）"", ""10 minutes"" ], [ ""十本（じゅっぽん）"", ""10 (long cylindrical objects)"" ], [ ""十日（とおか）"", ""10 days, 10th of the month"" ], [ ""十人十色（じゅうにんといろ）"", ""several men, several minds"" ], [ ""*二十才（はたち）"", ""20 years old"" ], [ ""*二十日（はつか）"", ""20 days, 20th day of the month"" ] ]","ジュウ, ジッ, ジュッ","とお, と, そ","い, か, ぎ, さ, し, そ, そう, ち, とう, ね, ま, る, わ",ten,4.0,2.0,8.0,1.0,十
領,(daitou)ryou,"[ [ ""領土（りょうど）"", ""dominion, territory"" ], [ ""領内（りょうない）"", ""territory, domains"" ], [ ""領空（りょうくう）"", ""territorial airspace"" ], [ ""領地（りょうち）"", ""territory, dominion"" ], [ ""領域（りょういき）"", ""area, domain, territory, field"" ], [ ""領事館（りょうじかん）"", ""consulate"" ], [ ""領収書（りょうしゅうしょ）"", ""receipt"" ], [ ""本領（ほんりょう）"", ""characteristic, speciality"" ], [ ""要領（ようりょう）"", ""gist, point, knack"" ], [ ""大統領（だいとうりょう）"", ""president (of a nation)"" ], [ ""占領する（せんりょうする）"", ""occupy, capture, possess"" ], [ ""横領する（おうりょうする）"", ""embezzle"" ] ]",リョウ,えり,"よう, よし","jurisdiction, dominion, territory, fief, reign",2.0,14.0,138.0,5.0,"貝, 目, ハ, 頁, 个, 卩, 一"
域,(chi)iki,"[ [ ""地域（ちいき）"", ""area, region"" ], [ ""水域（すいいき）"", ""waters, water area"" ], [ ""区域（くいき）"", ""boundary, zone, territory"" ], [ ""海域（かいいき）"", ""area of ocean"" ], [ ""全域（ぜんいき）"", ""the whole area"" ], [ ""聖域（せいいき）"", ""sacred precincts"" ], [ ""領域（りょういき）"", ""area, domain, territory, field"" ] ]",イキ,,,"range, region, limits, stage, level",2.0,11.0,396.0,6.0,"口, 土, 戈"
宇,u(jicha),"[ [ ""宇宙（うちゅう）"", ""universe, cosmos, space"" ], [ ""宇内（うだい）"", ""the whole world"" ] ]",ウ,,"いえ, たか, ひろ, ひろし","eaves, roof, house, heaven",2.0,6.0,883.0,6.0,"干, 亅, 宀"
沿,en-so(u),"[ [ ""沿道（えんどう）"", ""route, course, roadside"" ], [ ""沿岸（えんがん）"", ""coast, shore"" ], [ ""沿線（えんせん）"", ""along a railroad line"" ], [ ""沿革（えんかく）"", ""history, development"" ], [ ""沿う（そう）"", ""accompany, comply with"" ], [ ""川沿い（かわぞい）"", ""along a river"" ], [ ""山沿い（やまぞい）"", ""along a mountain"" ] ]",エン,"そ.う, -ぞ.い",,"run alongside, follow along, run along, lie along",1.0,8.0,1121.0,6.0,"口, 汁, ハ"
灰,kai-hai,"[ [ ""灰白色（かいはくしょく）"", ""grayish white"" ], [ ""石灰（せっかい）"", ""lime, quicklime, caustic lime"" ], [ ""灰（はい）"", ""ash"" ], [ ""灰皿（はいざら）"", ""ashtray"" ], [ ""灰色（はいいろ）"", ""grey, ashen"" ], [ ""火山灰（かざんばい）"", ""volcanic ash"" ] ]",カイ,はい,,"ashes, puckery juice, cremate",2.0,6.0,1717.0,6.0,"火, 厂"
閣,kaku(ryou),"[ [ ""閣僚（かくりょう）"", ""cabinet ministers"" ], [ ""閣議（かくぎ）"", ""cabinet meeting"" ], [ ""閣下（かっか）"", ""Your excellency"" ], [ ""内閣（ないかく）"", ""cabinet, ministry"" ], [ ""楼閣（ろうかく）"", ""multistoried building"" ], [ ""仏閣（ぶっかく）"", ""Buddhist temple"" ], [ ""金閣寺（きんかくじ）"", ""Kinkakuji Temple"" ], [ ""銀閣寺（ぎんかくじ）"", ""Ginkakuji Temple"" ], [ ""天守閣（てんしゅかく）"", ""castle tower"" ], [ ""組閣する（そかくする）"", ""form a cabinet"" ] ]",カク,,,"tower, tall building, palace",1.0,14.0,444.0,6.0,"口, 門, 夂"
